Datum (YYYY=jaar MM=maand DD=dag),Minimum temperatuur (in 0.1 graden Celsius),Maximum temperatuur (in 0.1 graden Celsius)
19600101,   82,  106
19600102,   72,   86
19600103,   36,   96
19600104,   43,  103
19600105,   47,  107
19600106,   38,   77
19600107,   44,   81
19600108,   -1,   72
19600109,  -20,   -1
19600110,  -42,    5
19600111,  -48,   21
19600112,  -63,  -16
19600113,  -68,  -36
19600114,  -63,  -13
19600115,  -69,  -24
19600116,  -21,   24
19600117,  -50,   21
19600118,   10,   39
19600119,   22,   47
19600120,   11,   43
19600121,    7,   52
19600122,   57,  106
19600123,   85,  102
19600124,   86,  113
19600125,   52,   81
19600126,   30,   67
19600127,   33,   52
19600128,   50,   87
19600129,   30,   52
19600130,    1,   36
19600131,   -1,    7
19600201,    5,   27
19600202,   16,   70
19600203,   59,   80
19600204,   46,   83
19600205,   15,   71
19600206,  -10,   50
19600207,  -41,    2
19600208,  -48,   20
19600209,    0,   57
19600210,   11,   54
19600211,    5,   36
19600212,    6,   19
19600213,    5,   23
19600214,    4,   35
19600215,    3,   51
19600216,   11,   54
19600217,  -48,   48
19600218,  -20,   40
19600219,  -13,   62
19600220,    1,   73
19600221,   -2,   65
19600222,    2,   53
19600223,   13,   29
19600224,   -4,   64
19600225,   13,   60
19600226,   38,   80
19600227,   57,  116
19600228,   55,  151
19600229,   72,  155
19600301,   81,  116
19600302,   78,   99
19600303,   57,   94
19600304,   42,   80
19600305,   28,   78
19600306,    2,   80
19600307,  -11,   33
19600308,  -29,    8
19600309,  -21,   73
19600310,   23,   75
19600311,   18,   80
19600312,   54,  139
19600313,   43,  149
19600314,   51,  163
19600315,   40,   98
19600316,   27,   52
19600317,   22,   46
19600318,   17,   36
19600319,   11,   68
19600320,    3,   49
19600321,    4,   62
19600322,   -1,   69
19600323,   10,  144
19600324,   28,  156
19600325,   50,   86
19600326,   50,  109
19600327,   40,   86
19600328,   43,   64
19600329,   50,   58
19600330,   45,   92
19600331,   32,   81
19600401,   46,   75
19600402,   38,  138
19600403,   79,  183
19600404,   83,  138
19600405,   53,  166
19600406,  107,  208
19600407,  103,  172
19600408,   86,  130
19600409,   79,  139
19600410,   55,  130
19600411,   59,  101
19600412,   52,  111
19600413,   82,  125
19600414,   58,  115
19600415,   22,   95
19600416,   16,   88
19600417,    2,  107
19600418,   34,  116
19600419,   71,  176
19600420,   79,  191
19600421,   43,  119
19600422,   25,  125
19600423,   40,  103
19600424,   48,  106
19600425,   42,   91
19600426,   19,  104
19600427,   11,   96
19600428,   20,  105
19600429,   22,  101
19600430,   10,  104
19600501,   22,   82
19600502,   26,   95
19600503,   31,  142
19600504,   52,  166
19600505,   44,  190
19600506,   85,  214
19600507,   96,  218
19600508,  124,  218
19600509,  124,  226
19600510,  124,  213
19600511,  117,  218
19600512,  123,  221
19600513,  105,  226
19600514,   98,  187
19600515,  125,  190
19600516,   91,  177
19600517,   90,  121
19600518,   93,  137
19600519,  107,  162
19600520,   98,  170
19600521,   97,  129
19600522,   90,  128
19600523,  100,  201
19600524,   64,  140
19600525,   55,  172
19600526,   92,  196
19600527,  105,  210
19600528,   88,  174
19600529,   93,  125
19600530,   61,  144
19600531,   59,  149
19600601,   88,  160
19600602,  104,  223
19600603,  140,  246
19600604,  150,  258
19600605,  152,  282
19600606,  148,  234
19600607,  105,  183
19600608,   97,  208
19600609,  135,  183
19600610,  108,  168
19600611,   98,  163
19600612,  140,  198
19600613,  107,  178
19600614,   97,  173
19600615,  101,  189
19600616,  101,  206
19600617,  149,  224
19600618,  139,  243
19600619,  108,  190
19600620,  100,  169
19600621,  118,  160
19600622,   88,  198
19600623,  139,  254
19600624,  139,  262
19600625,  148,  274
19600626,  154,  253
19600627,  122,  170
19600628,   89,  160
19600629,  100,  126
19600630,   80,  142
19600701,   87,  148
19600702,   90,  153
19600703,   86,  142
19600704,   72,  194
19600705,  141,  178
19600706,  146,  190
19600707,  144,  196
19600708,  131,  190
19600709,  133,  178
19600710,  140,  176
19600711,  144,  189
19600712,  126,  186
19600713,  120,  196
19600714,  138,  206
19600715,  122,  200
19600716,  112,  198
19600717,  125,  181
19600718,  130,  197
19600719,  134,  192
19600720,  106,  167
19600721,   97,  189
19600722,  108,  169
19600723,   97,  177
19600724,   86,  199
19600725,  148,  195
19600726,  136,  203
19600727,  127,  194
19600728,  116,  176
19600729,  165,  224
19600730,  166,  214
19600731,  148,  189
19600801,  114,  198
19600802,  109,  200
19600803,  100,  218
19600804,  117,  216
19600805,  123,  209
19600806,  128,  200
19600807,  109,  205
19600808,  136,  223
19600809,  114,  184
19600810,  107,  151
19600811,  110,  149
19600812,  100,  169
19600813,   80,  176
19600814,  105,  210
19600815,  101,  166
19600816,  119,  191
19600817,  108,  188
19600818,  124,  176
19600819,  118,  168
19600820,  131,  181
19600821,  136,  206
19600822,  157,  267
19600823,  167,  205
19600824,  154,  227
19600825,  145,  214
19600826,  130,  218
19600827,  144,  240
19600828,  138,  207
19600829,  143,  186
19600830,  136,  178
19600831,  127,  163
19600901,  120,  160
19600902,   94,  171
19600903,  142,  181
19600904,  102,  168
19600905,   92,  167
19600906,  109,  160
19600907,  106,  162
19600908,  130,  190
19600909,  111,  200
19600910,  146,  207
19600911,  132,  232
19600912,  127,  238
19600913,  120,  196
19600914,  144,  190
19600915,  138,  177
19600916,  142,  224
19600917,  116,  170
19600918,  104,  192
19600919,  132,  186
19600920,  120,  179
19600921,  107,  149
19600922,  134,  164
19600923,  130,  161
19600924,   97,  178
19600925,   79,  171
19600926,   74,  156
19600927,   67,  152
19600928,   60,  135
19600929,   64,  142
19600930,   72,  124
19601001,   81,  109
19601002,  103,  200
19601003,  136,  183
19601004,  137,  172
19601005,  128,  182
19601006,  114,  165
19601007,   89,  186
19601008,   92,  159
19601009,  100,  147
19601010,  106,  139
19601011,   74,  124
19601012,   80,  124
19601013,   73,  122
19601014,   68,  121
19601015,   54,  120
19601016,   42,  111
19601017,   59,  123
19601018,   54,  120
19601019,   68,  112
19601020,   68,  120
19601021,   98,  129
19601022,   88,  116
19601023,   99,  116
19601024,   97,  146
19601025,   86,  161
19601026,   97,  117
19601027,   74,  132
19601028,   67,  133
19601029,  100,  119
19601030,   94,  119
19601031,   68,  127
19601101,   88,  150
19601102,   89,  127
19601103,   92,  121
19601104,   73,  115
19601105,   72,  105
19601106,   49,   86
19601107,   18,   89
19601108,   -5,   81
19601109,  -18,   40
19601110,   -1,   78
19601111,   66,  101
19601112,   71,  117
19601113,   38,   89
19601114,   60,  117
19601115,   71,   99
19601116,   43,  108
19601117,   21,   84
19601118,   62,   97
19601119,   47,   96
19601120,   32,  102
19601121,   69,   99
19601122,   84,  113
19601123,   72,   98
19601124,   73,  102
19601125,   87,  132
19601126,  106,  126
19601127,   37,  110
19601128,   14,   82
19601129,   54,   95
19601130,   76,  103
19601201,   56,   89
19601202,   62,  101
19601203,   58,  119
19601204,   80,  116
19601205,   30,   80
19601206,   29,   58
19601207,   35,   57
19601208,  -10,   36
19601209,   17,   39
19601210,   12,   31
19601211,   16,   30
19601212,   16,   47
19601213,    4,   31
19601214,    1,   12
19601215,   -1,   17
19601216,   13,   24
